Date,Kind,Submitter,Yellow,Blue,Green,Brown,Orange,Red,Notes
2014-2-18,Plain,BD,5,8,5,10,8,10,
2014-3-10,Plain,BD,5,13,20,1,9,8,
2014-3-25,Plain,BD,12,7,28,18,27,10,
2014-4-9,Plain,BD,19,9,17,19,27,10,
2014-5-14,Plain,BD,18,42,44,9,39,26,
2014-5-22,Peanut,BP,1,7,3,3,2,4,
2014-5-22,Peanut,BP,2,8,7,1,2,0,
2014-5-22,Peanut,BP,5,6,1,5,5,0,
2014-5-28,Plain,BD,10,6,12,4,14,7,Regular size bag
2014-5-30,Peanut,BP,3,5,6,2,3,2,
2014-6-11,Plain,BD,14,20,20,17,22,10,
2014-6-30,Plain,BD,11,28,24,13,20,13,
2014-9-3,Plain,BD,8,10,7,8,17,6,
2014-9-15,Plain,BD,6,12,14,5,11,9,
2014-9-26,Peanut,BP,2,3,7,2,1,3,
2014-9-30,Plain,BD,11,9,13,8,2,14,
2014-10-1,Peanut,BP,2,3,1,7,4,2,
2014-10-14,Peanut,BP,5,7,1,3,1,1,
2014-10-17,Plain,BD,19,28,23,14,13,10,
2014-10-31,Plain,BD,20,24,21,9,13,16,Sharing Size
2014-10-31,Plain,BD,2,9,1,0,4,2,Fun Size
2014-10-31,Plain,BD,1,4,6,3,1,4,Fun Size
2014-11-4,Plain,BD,2,6,1,0,4,4,
2014-12-10,Peanut,BP,0,3,7,3,3,3,
2014-12-12,Peanut,BP,4,3,3,4,5,3,
2014-12-17,Peanut,BP,2,3,6,1,8,2,
2014-12-22,Plain,BD,11,5,13,9,12,6,Half a green M&M was counted as a full M&M
2015-1-5,Peanut,BP,6,5,4,2,3,0,
2015-1-6,Peanut,BP,4,7,2,2,2,4,
2015-2-12,Peanut,BP,3,4,2,2,6,4,
2015-2-18,Peanut,BP,3,3,5,0,5,3,
2015-2-20,Plain,MK,7,8,19,5,14,8,
2015-2-24,Plain,BD,8,9,7,11,17,6,
2015-3-31,Plain,BD,4,18,6,9,13,4,
2015-4-22,Plain,BD,4,14,9,7,13,5,
2015-4-29,Plain,BD,8,17,7,7,9,5,
2015-5-8,Peanut,BP,6,2,9,3,2,0,
2015-5-28,Peanut,BP,5,2,3,3,4,2,
2015-6-29,Peanut,BP,2,3,2,0,8,2,
2015-7-27,Peanut,BP,5,4,3,1,7,0,
2015-7-30,Peanut,BP,6,9,3,1,2,1,
2015-8-3,Peanut,BP,5,3,5,1,7,0,Half a green counted as one
2015-8-17,Peanut,BP,3,7,5,2,2,3,
2015-9-9,Plain,BD,8,17,8,10,7,4,
2015-9-10,Peanut,BP,3,5,4,3,2,2,
2015-9-28,Plain,BD,9,17,6,4,13,7,
2015-9-30,Plain,BD,7,18,13,9,10,2,
2015-10-8,Plain,BD,2,1,3,3,5,1,
2015-10-8,Plain,BD,0,6,2,2,1,2,
2015-10-12,Plain,BD,0,4,0,2,8,1,
2015-10-19,Plain,BD,3,5,3,3,2,0,
2015-10-19,Plain,BD,2,2,2,4,4,1,
2015-10-20,Plain,BD,2,3,3,5,3,0,
2015-11-2,Plain,BD,6,7,19,5,15,5,Half a green counted as one whole
2015-11-7,Plain,BD,3,3,1,4,2,5,
2015-11-7,Plain,BD,0,1,3,2,6,1,
2015-11-7,Plain,BD,0,3,4,1,6,1,
2015-11-24,Plain,BD,5,11,8,5,12,3,Half a green counted as one whole
2015-12-15,Peanut,BP,0,1,1,1,5,0,
2015-12-15,Plain,BD,4,13,9,7,16,5,
2015-12-27,Plain,BD,2,31,6,8,7,3,
2016-1-28,Plain,BD,0,22,6,8,15,5,
2016-2-19,Plain,BD,2,19,5,13,13,5,
2016-2-29,Plain,BD,3,17,8,5,16,8,
2016-4-6,Plain,BD,2,19,6,7,15,8,Half a blue counted as a whole
2016-10-27,Plain,BD,1,5,4,3,0,2,
2016-11-1,Plain,BD,2,3,3,3,3,1,
2016-11-22,Plain,BD,5,3,1,3,4,0,
2016-12-10,Plain,BD,3,1,5,3,0,3,
2016-12-16,Peanut,BP,3,6,7,2,4,0,
2017-2-7,Plain,BD,2,3,4,0,4,2,
2017-2-15,Plain,BD,3,4,4,3,1,1,
2017-3-24,Plain,BD,4,22,8,8,11,3,
2017-3-30,Plain,BD,2,1,5,1,2,3,
2017-4-6,Plain,BD,5,4,3,0,1,3,
2017-9-13,Plain,BD,1,1,4,2,4,3,
2017-10-31,Plain,BD,2,2,4,1,3,2,
2017-11-2,Plain,BD,0,4,2,3,6,1,
2017-11-7,Plain,BD,4,3,3,4,2,0,
2017-11-8,Plain,BD,12,15,11,5,8,3,
2017-11-29,Plain,BD,2,4,1,2,4,3,
2017-12-4,Plain,BD,7,10,12,3,10,13,
2018-1-24,Peanut,BP,3,3,6,1,7,4,
2018-1-31,Peanut,BP,2,4,1,1,5,4,
2018-2-5,Peanut Butter,BD,7,6,5,4,4,3,
2018-02-19,Plain,BD,11,8,14,0,13,9,
2018-2-22,Plain,BD,12,10,9,6,10,9,
2018-3-12,Plain,BD,5,6,13,3,18,12,